"Hex_tag_ID","Duwamish People's Park","Lower Green Barge 1","Lower Green Barge 2","Lower Russel Backwater","Porter Side Channel","WDFW TBiOS Opposite Slip 4","WDFW TBiOS Slip 4"
"3DD.003E45C109",NA,2024-05-01 23:55:16,NA,2024-05-01 23:55:16,NA,NA,NA
"3DD.003E45C10A",NA,NA,2024-05-01 21:25:04,NA,NA,NA,NA
"3DD.003E45C10F",NA,NA,2024-05-01 23:54:13,NA,NA,NA,NA
"3DD.003E45C110",NA,2024-05-01 23:06:09,NA,2024-05-01 23:06:09,NA,NA,NA
"3DD.003E45C114",NA,NA,2024-05-01 20:54:45,NA,NA,NA,NA
"3DD.003E45C116",NA,NA,2024-05-01 21:21:51,NA,NA,NA,NA
"3DD.003E45C119",NA,2024-05-02 00:30:22,NA,2024-05-02 00:30:22,NA,NA,NA
"3DD.003E45C11B",NA,2024-05-02 03:23:23,2024-05-02 03:27:43,2024-05-02 03:23:23,NA,NA,NA
"3DD.003E45C11C",NA,NA,2024-05-02 02:18:15,NA,NA,NA,NA
"3DD.003E45C11D",NA,2024-05-01 20:51:33,2024-05-01 20:54:26,2024-05-01 20:51:33,NA,NA,NA
"3DD.003E45C11F",NA,2024-05-02 01:08:26,NA,2024-05-02 01:08:26,NA,NA,NA
"3DD.003E45C121",NA,NA,2024-05-01 22:52:05,NA,NA,NA,NA
"3DD.003E45C128",NA,2024-05-02 02:33:25,2024-05-02 02:38:24,2024-05-02 02:33:25,NA,NA,NA
"3DD.003E45C12D",NA,NA,2024-05-02 00:09:40,NA,NA,NA,NA
"3DD.003E45C12E",NA,NA,2024-05-02 07:42:31,NA,NA,NA,NA
"3DD.003E45C131",NA,NA,2024-05-01 21:36:06,NA,NA,NA,NA
"3DD.003E45C133",NA,2024-05-01 20:50:12,2024-05-01 20:53:07,2024-05-01 20:50:12,NA,NA,NA
"3DD.003E45C135",NA,NA,2024-05-01 21:30:22,NA,NA,NA,NA
"3DD.003E45C139",NA,2024-05-06 21:05:28,NA,2024-05-06 21:05:28,NA,NA,NA
"3DD.003E45C13A",NA,2024-05-01 21:23:58,2024-05-01 21:27:15,2024-05-01 21:23:58,NA,NA,NA
"3DD.003E45C13B",NA,NA,2024-05-01 21:05:50,NA,NA,NA,NA
"3DD.003E45C13F",NA,NA,2024-05-02 03:36:57,NA,NA,NA,NA
"3DD.003E45C140",NA,2024-05-01 20:51:03,NA,2024-05-01 20:51:03,NA,NA,NA
"3DD.003E45C143",NA,2024-05-02 01:03:55,2024-05-02 01:08:07,2024-05-02 01:03:55,NA,NA,NA
"3DD.003E45C144",2024-05-05 17:59:35,2024-05-05 17:59:35,2024-05-01 23:33:49,NA,NA,NA,NA
"3DD.003E45C145",NA,2024-05-01 21:25:17,2024-05-01 21:28:06,2024-05-01 21:25:17,NA,NA,NA
"3DD.003E45C146",NA,2024-05-01 21:12:23,NA,2024-05-01 21:12:23,NA,NA,NA
"3DD.003E45C14A",NA,2024-05-01 21:12:43,NA,2024-05-01 21:12:43,NA,NA,NA
"3DD.003E45C14C",NA,2024-05-01 20:51:12,2024-05-01 20:54:15,2024-05-01 20:51:12,NA,NA,NA
"3DD.003E45C150",NA,2024-05-01 21:56:47,2024-05-01 21:59:39,2024-05-01 21:56:47,NA,NA,NA
"3DD.003E45C152",NA,2024-05-01 20:51:39,2024-05-01 20:54:28,2024-05-01 20:51:39,NA,NA,NA
"3DD.003E45C153",NA,2024-05-02 03:46:34,NA,2024-05-02 03:46:34,NA,NA,NA
"3DD.003E45C157",NA,2024-05-02 02:34:46,NA,2024-05-02 02:34:46,NA,NA,NA
"3DD.003E45C158",NA,NA,2024-05-01 21:11:30,NA,NA,NA,NA
"3DD.003E45C15D",NA,NA,2024-05-01 21:09:32,NA,NA,NA,NA
"3DD.003E45C15E",NA,NA,2024-05-02 00:23:37,NA,NA,NA,NA
"3DD.003E45C15F",NA,NA,2024-05-02 03:04:29,NA,NA,NA,NA
"3DD.003E45C163",2024-05-08 19:26:59,2024-05-08 19:26:59,2024-05-01 20:53:50,NA,NA,NA,NA
"3DD.003E45C165",NA,NA,2024-05-01 21:51:36,NA,NA,NA,NA
"3DD.003E45C167",NA,2024-05-01 23:59:42,2024-05-02 00:03:25,2024-05-01 23:59:42,NA,NA,NA
"3DD.003E45C169",NA,NA,2024-05-01 22:34:00,NA,NA,NA,NA
"3DD.003E45C16C",NA,2024-05-01 22:55:30,2024-05-01 22:58:56,2024-05-01 22:55:30,NA,NA,NA
"3DD.003E45C16D",NA,NA,2024-05-01 21:20:36,NA,NA,NA,NA
"3DD.003E45C170",NA,NA,2024-05-01 21:16:03,NA,NA,NA,NA
"3DD.003E45C172",NA,NA,2024-05-02 02:25:04,NA,NA,NA,NA
"3DD.003E45C174",NA,2024-05-01 22:12:55,NA,2024-05-01 22:12:55,NA,NA,NA
"3DD.003E45C176",NA,2024-05-01 21:06:23,NA,2024-05-01 21:06:23,NA,NA,NA
"3DD.003E45C179",NA,2024-05-01 21:21:41,NA,2024-05-01 21:21:41,NA,NA,NA
"3DD.003E45C17C",NA,NA,2024-05-01 21:30:21,NA,NA,NA,NA
"3DD.003E45C17D",NA,NA,2024-05-01 22:16:25,NA,NA,NA,NA
"3DD.003E45C184",NA,NA,2024-05-01 21:12:28,NA,NA,NA,NA
"3DD.003E45C185",NA,NA,2024-05-01 21:07:39,NA,NA,NA,NA
"3DD.003E45C188",NA,NA,2024-05-19 11:19:20,NA,NA,NA,NA
"3DD.003E45C189",NA,2024-05-02 02:20:54,NA,2024-05-02 02:20:54,NA,NA,NA
"3DD.003E45C18B",NA,2024-05-01 22:38:21,NA,2024-05-01 22:38:21,NA,NA,NA
"3DD.003E45C18D",NA,NA,2024-05-01 21:25:54,NA,NA,NA,NA
"3DD.003E45C18E",NA,NA,2024-05-01 20:56:59,NA,NA,NA,NA
"3DD.003E45C190",NA,2024-05-02 02:17:32,NA,2024-05-02 02:17:32,NA,NA,NA
"3DD.003E45C191",NA,NA,2024-05-02 08:45:53,NA,NA,NA,NA
"3DD.003E45C192",NA,2024-05-01 21:22:05,NA,2024-05-01 21:22:05,NA,NA,NA
"3DD.003E45C195",NA,NA,2024-05-01 21:18:02,NA,NA,NA,NA
"3DD.003E45C199",NA,2024-05-01 20:56:48,NA,2024-05-01 20:56:48,NA,NA,NA
"3DD.003E45C19A",NA,2024-05-01 21:18:26,2024-05-01 21:21:08,2024-05-01 21:18:26,NA,NA,NA
"3DD.003E45C19B",2024-05-26 20:52:35,2024-05-01 21:11:02,NA,2024-05-01 21:11:02,NA,NA,NA
"3DD.003E45C19C",NA,NA,2024-05-02 03:58:20,NA,NA,NA,NA
"3DD.003E45C19D",NA,NA,2024-05-01 21:05:18,NA,NA,NA,NA
"3DD.003E45C19E",NA,2024-05-02 05:32:15,NA,2024-05-02 05:32:15,NA,NA,NA
"3DD.003E45C19F",NA,2024-05-01 22:38:51,NA,2024-05-01 22:38:51,NA,NA,NA
"3DD.003E45C1A0",NA,2024-05-01 21:21:52,NA,2024-05-01 21:21:52,NA,NA,NA
"3DD.003E45C1A1",NA,NA,2024-05-01 21:16:11,NA,NA,NA,NA
"3DD.003E45C1A7",NA,2024-05-01 21:57:43,NA,2024-05-01 21:57:43,NA,NA,NA
"3DD.003E45C1A9",NA,2024-05-01 21:33:08,NA,2024-05-01 21:33:08,NA,NA,NA
"3DD.003E45C1AB",NA,2024-05-01 21:17:04,NA,2024-05-01 21:17:04,NA,NA,NA
"3DD.003E45C1AC",NA,NA,2024-05-02 00:18:16,NA,NA,NA,NA
"3DD.003E45C1AF",NA,NA,2024-05-01 21:16:53,NA,NA,NA,NA
"3DD.003E45C1B1",NA,2024-05-02 04:07:55,NA,2024-05-02 04:07:55,NA,NA,NA
"3DD.003E45C1B2",NA,2024-05-01 22:07:29,2024-05-01 22:10:35,2024-05-01 22:07:29,NA,NA,NA
"3DD.003E45C1B3",NA,NA,2024-05-01 21:22:21,NA,NA,NA,NA
"3DD.003E45C1B8",NA,2024-05-01 20:59:11,NA,2024-05-01 20:59:11,NA,NA,NA
"3DD.003E45C1BC",NA,2024-05-01 22:08:50,NA,2024-05-01 22:08:50,NA,NA,NA
"3DD.003E45C1BE",NA,2024-05-01 23:12:07,NA,2024-05-01 23:12:07,NA,NA,NA
"3DD.003E45C1BF",NA,NA,2024-05-01 21:59:31,NA,NA,NA,NA
"3DD.003E45C1C0",NA,NA,2024-05-01 23:05:50,NA,NA,NA,NA
"3DD.003E45C1C2",NA,2024-05-01 21:02:23,NA,2024-05-01 21:02:23,NA,NA,NA
"3DD.003E45C1C3",NA,NA,2024-05-02 04:15:55,NA,NA,NA,NA
"3DD.003E45C1C5",NA,2024-05-01 22:17:03,NA,2024-05-01 22:17:03,NA,NA,NA
"3DD.003E45C1CB",NA,2024-05-01 21:52:55,NA,2024-05-01 21:52:55,NA,NA,NA
"3DD.003E45C1CC",NA,2024-05-01 22:23:51,NA,2024-05-01 22:23:51,NA,NA,NA
"3DD.003E45C1CE",NA,NA,2024-05-01 21:41:38,NA,NA,NA,NA
"3DD.003E45C1D0",NA,2024-05-02 01:39:06,NA,2024-05-02 01:39:06,NA,NA,NA
"3DD.003E45C1D4",NA,2024-05-01 21:39:32,2024-05-01 21:42:12,2024-05-01 21:39:32,NA,NA,NA
"3DD.003E45C1D6",NA,2024-05-01 22:03:19,NA,2024-05-01 22:03:19,NA,NA,NA
"3DD.003E45C1D7",NA,2024-05-01 21:15:31,NA,2024-05-01 21:15:31,NA,NA,NA
"3DD.003E45C1D8",NA,2024-05-01 21:30:41,NA,2024-05-01 21:30:41,NA,NA,NA
"3DD.003E45C1DA",NA,2024-05-01 21:25:48,2024-05-01 21:28:38,2024-05-01 21:25:48,NA,NA,NA
"3DD.003E45C1DC",NA,NA,2024-05-01 21:10:28,NA,NA,NA,NA
"3DD.003E45C1DD",NA,NA,2024-05-01 21:24:45,NA,NA,NA,NA
"3DD.003E45C1DE",NA,NA,2024-05-01 23:10:47,NA,NA,NA,NA
"3DD.003E45C1DF",NA,2024-05-02 01:54:19,NA,2024-05-02 01:54:19,NA,NA,NA
"3DD.003E45C1E0",NA,NA,2024-05-01 22:22:40,NA,NA,NA,NA
"3DD.003E45C1E5",NA,NA,2024-05-01 21:00:26,NA,NA,NA,NA
"3DD.003E45C1E6",NA,2024-05-02 03:13:44,2024-05-02 03:17:16,2024-05-02 03:13:44,NA,NA,NA
"3DD.003E45C1E8",NA,2024-05-02 00:59:18,NA,2024-05-02 00:59:18,NA,NA,NA
"3DD.003E45C1EA",NA,2024-05-01 22:31:58,NA,2024-05-01 22:31:58,NA,NA,NA
"3DD.003E45C1EC",NA,2024-05-01 21:19:24,NA,2024-05-01 21:19:24,NA,NA,NA
"3DD.003E45C1ED",NA,2024-05-01 23:52:44,2024-05-01 23:56:23,2024-05-01 23:52:44,NA,NA,NA
"3DD.003E45C1F0",NA,2024-05-01 20:54:36,NA,2024-05-01 20:54:36,NA,NA,NA
"3DD.003E45C1F1",NA,2024-05-01 21:06:33,2024-05-01 21:09:19,2024-05-01 21:06:33,NA,NA,NA
"3DD.003E45C1F3",NA,2024-05-01 23:13:57,2024-05-01 23:17:07,2024-05-01 23:13:57,NA,NA,NA
"3DD.003E45C1FB",NA,2024-05-01 20:51:05,NA,2024-05-01 20:51:05,NA,NA,NA
"3DD.003E45C1FC",NA,2024-05-01 21:43:32,2024-05-01 21:46:16,2024-05-01 21:43:32,NA,NA,NA
"3DD.003E45C1FE",NA,NA,2024-05-01 22:25:39,NA,NA,NA,NA
"3DD.003E45C200",NA,NA,2024-05-01 21:22:38,NA,NA,NA,NA
"3DD.003E45C202",NA,2024-05-02 17:55:52,NA,2024-05-02 17:55:52,NA,NA,NA
"3DD.003E45C203",NA,2024-05-01 23:03:30,NA,2024-05-01 23:03:30,NA,NA,NA
"3DD.003E45C204",NA,2024-05-02 02:13:12,NA,2024-05-02 02:13:12,NA,NA,NA
"3DD.003E45C208",NA,NA,2024-05-01 21:27:21,NA,NA,NA,NA
"3DD.003E45C20A",NA,NA,2024-05-01 22:07:33,NA,NA,NA,NA
"3DD.003E45C20C",NA,NA,2024-05-01 21:17:46,NA,NA,NA,NA
"3DD.003E45C20D",NA,2024-05-01 22:13:14,NA,2024-05-01 22:13:14,NA,NA,NA
"3DD.003E45C20F",NA,NA,2024-05-01 22:01:26,NA,NA,NA,NA
"3DD.003E45C211",NA,2024-05-01 21:31:12,NA,2024-05-01 21:31:12,NA,NA,NA
"3DD.003E45C213",NA,2024-05-01 20:52:01,NA,2024-05-01 20:52:01,NA,NA,NA
"3DD.003E45C214",NA,2024-05-01 21:42:38,2024-05-01 21:45:21,2024-05-01 21:42:38,NA,NA,NA
"3DD.003E45C215",NA,2024-05-02 02:09:01,NA,2024-05-02 02:09:01,NA,NA,NA
"3DD.003E45C219",NA,2024-05-01 21:22:51,NA,2024-05-01 21:22:51,NA,NA,NA
"3DD.003E45C21A",NA,NA,2024-05-02 02:37:38,NA,NA,NA,NA
"3DD.003E45C21D",NA,2024-05-01 21:30:18,NA,2024-05-01 21:30:18,NA,NA,NA
"3DD.003E45C21E",NA,2024-05-01 21:34:50,NA,2024-05-01 21:34:50,NA,NA,NA
"3DD.003E45C21F",NA,2024-05-01 20:50:24,2024-05-01 20:53:25,2024-05-01 20:50:24,NA,NA,NA
"3DD.003E45C220",NA,NA,2024-05-01 22:00:21,NA,NA,NA,NA
"3DD.003E45C221",NA,2024-05-01 22:11:58,NA,2024-05-01 22:11:58,NA,NA,NA
"3DD.003E45C222",NA,2024-05-01 23:36:55,NA,2024-05-01 23:36:55,NA,NA,NA
"3DD.003E45C223",NA,2024-05-01 21:04:50,2024-05-01 21:07:42,2024-05-01 21:04:50,NA,NA,NA
"3DD.003E45C224",NA,2024-05-02 01:20:32,NA,2024-05-02 01:20:32,NA,NA,NA
"3DD.003E45C229",NA,2024-05-02 03:57:03,NA,2024-05-02 03:57:03,NA,NA,NA
"3DD.003E45C22A",NA,2024-05-01 22:00:16,2024-05-01 22:03:09,2024-05-01 22:00:16,NA,NA,NA
"3DD.003E45C22B",NA,2024-05-01 21:05:05,2024-05-01 21:08:03,2024-05-01 21:05:05,NA,NA,NA
"3DD.003E45C22C",NA,NA,2024-05-01 21:05:10,NA,NA,NA,NA
"3DD.003E45C22D",NA,NA,2024-05-01 22:43:13,NA,NA,NA,NA
"3DD.003E45C22F",NA,2024-05-01 21:16:50,NA,2024-05-01 21:16:50,NA,NA,NA
"3DD.003E45C235",NA,2024-05-01 21:25:59,2024-05-01 21:29:06,2024-05-01 21:25:59,NA,NA,NA
"3DD.003E45C237",NA,NA,2024-05-01 21:43:39,NA,NA,NA,NA
"3DD.003E45C23A",NA,2024-05-01 21:22:09,2024-05-01 21:25:16,2024-05-01 21:22:09,NA,NA,NA
"3DD.003E45C23B",NA,2024-05-02 03:10:17,NA,2024-05-02 03:10:17,NA,NA,NA
"3DD.003E45C23C",NA,2024-05-02 01:24:18,NA,2024-05-02 01:24:18,NA,NA,NA
"3DD.003E45C23E",NA,2024-05-02 03:05:09,NA,2024-05-02 03:05:09,NA,NA,NA
"3DD.003E45C23F",NA,2024-05-01 21:38:23,NA,2024-05-01 21:38:23,NA,NA,NA
"3DD.003E45C241",NA,2024-05-02 21:17:12,2024-05-02 21:20:11,2024-05-02 21:17:12,NA,NA,NA
"3DD.003E45C24A",NA,2024-05-01 21:29:38,2024-05-01 21:32:37,2024-05-01 21:29:38,NA,NA,NA
"3DD.003E45C24B",NA,NA,2024-05-02 02:17:13,NA,NA,NA,NA
"3DD.003E45C24C",NA,NA,2024-05-01 23:24:36,NA,NA,NA,NA
"3DD.003E45C24D",NA,2024-05-01 21:10:58,2024-05-01 21:13:54,2024-05-01 21:10:58,NA,NA,NA
"3DD.003E45C256",NA,NA,2024-05-01 21:01:03,NA,NA,NA,NA
"3DD.003E45C25A",NA,2024-05-02 01:39:28,2024-05-02 01:44:04,2024-05-02 01:39:28,NA,NA,NA
"3DD.003E45C25B",NA,NA,2024-05-01 21:50:57,NA,NA,NA,NA
"3DD.003E45C25D",NA,2024-05-01 21:14:55,NA,2024-05-01 21:14:55,NA,NA,NA
"3DD.003E45C25E",NA,NA,2024-05-01 22:14:44,NA,NA,NA,NA
"3DD.003E45C261",NA,2024-05-01 21:31:48,NA,2024-05-01 21:31:48,NA,NA,NA
"3DD.003E45C262",NA,2024-05-01 21:15:25,NA,2024-05-01 21:15:25,NA,NA,NA
"3DD.003E45C263",NA,2024-05-02 01:05:03,NA,2024-05-02 01:05:03,NA,NA,NA
"3DD.003E45C266",NA,NA,2024-05-08 00:44:59,NA,NA,NA,NA
"3DD.003E45C269",NA,2024-05-01 22:27:13,NA,2024-05-01 22:27:13,NA,NA,NA
"3DD.003E45C26A",NA,2024-05-02 01:03:52,NA,2024-05-02 01:03:52,NA,NA,NA
"3DD.003E45C26C",NA,2024-05-02 01:35:42,2024-05-02 01:39:55,2024-05-02 01:35:42,NA,NA,NA
"3DD.003E45C270",NA,NA,2024-05-01 21:07:52,NA,NA,NA,NA
"3DD.003E45C271",NA,NA,2024-05-01 22:54:04,NA,NA,NA,NA
"3DD.003E45C272",NA,2024-05-01 22:08:25,NA,2024-05-01 22:08:25,NA,NA,NA
"3DD.003E45C273",NA,2024-05-01 21:21:39,NA,2024-05-01 21:21:39,NA,NA,NA
"3DD.003E45C274",NA,2024-05-01 20:51:07,NA,2024-05-01 20:51:07,NA,NA,NA
"3DD.003E45C276",2024-05-06 05:36:53,2024-05-06 05:36:53,2024-05-01 21:04:30,NA,NA,NA,NA
"3DD.003E45C278",NA,2024-05-02 05:46:37,NA,2024-05-02 05:46:37,NA,NA,NA
"3DD.003E45C27C",NA,2024-05-01 21:46:51,2024-05-01 21:49:41,2024-05-01 21:46:51,NA,NA,NA
"3DD.003E45C27E",NA,2024-05-02 04:09:17,NA,2024-05-02 04:09:17,NA,NA,NA
"3DD.003E45C27F",NA,2024-05-01 21:07:44,2024-05-01 21:10:49,2024-05-01 21:07:44,NA,NA,NA
"3DD.003E45C280",NA,NA,2024-05-02 02:23:08,NA,NA,NA,NA
"3DD.003E45C282",NA,NA,2024-05-01 21:07:48,NA,NA,NA,NA
"3DD.003E45C284",NA,2024-05-02 22:09:09,NA,2024-05-02 22:09:09,NA,NA,NA
"3DD.003E45C285",NA,2024-05-01 21:21:35,NA,2024-05-01 21:21:35,NA,NA,NA
"3DD.003E45C286",NA,NA,2024-05-01 21:20:59,NA,NA,NA,NA
"3DD.003E45C287",NA,2024-05-02 01:19:30,NA,2024-05-02 01:19:30,NA,NA,NA
"3DD.003E45C28B",NA,2024-05-01 21:21:49,NA,2024-05-01 21:21:49,NA,NA,NA
"3DD.003E45C28C",NA,NA,2024-05-02 02:14:42,NA,NA,NA,NA
"3DD.003E45C28D",NA,NA,2024-05-01 21:07:17,NA,NA,NA,NA
"3DD.003E45C292",NA,2024-05-01 20:55:04,NA,2024-05-01 20:55:04,NA,NA,NA
"3DD.003E45C293",NA,2024-05-01 22:49:49,2024-05-01 22:52:54,2024-05-01 22:49:49,NA,NA,NA
"3DD.003E45C296",NA,2024-05-01 21:27:03,NA,2024-05-01 21:27:03,NA,NA,NA
"3DD.003E45C297",NA,2024-05-02 03:55:43,2024-05-02 03:59:31,2024-05-02 03:55:43,NA,NA,NA
"3DD.003E45C29C",NA,2024-05-01 21:18:59,NA,2024-05-01 21:18:59,NA,NA,NA
"3DD.003E45C29D",NA,NA,2024-05-01 21:04:19,NA,NA,NA,NA
"3DD.0077C2D696",2024-05-10 09:49:45,2024-05-10 09:49:45,NA,NA,NA,NA,NA
"3DD.0078D162CB",NA,NA,2024-06-06 17:13:40,NA,NA,NA,NA
"3DD.0078D162DC",NA,2024-06-09 03:10:48,NA,2024-06-09 03:10:48,NA,NA,NA
"3DD.0078D162DD",NA,2024-07-20 09:02:35,NA,2024-07-20 09:02:35,NA,NA,NA
"3DD.0078D162E8",NA,2024-06-09 00:05:25,NA,2024-06-09 00:05:25,NA,NA,NA
"3DD.0078D1630B",NA,2024-06-08 13:06:42,NA,2024-06-08 13:06:42,NA,NA,NA
"3DD.0078D1632F",NA,2024-07-12 09:13:46,NA,2024-07-12 09:13:46,NA,NA,NA
"3DD.0078D16338",NA,2024-07-11 23:02:30,NA,2024-07-11 23:02:30,NA,NA,NA
"3DD.0078D1634B",NA,NA,NA,NA,2024-06-11 07:27:07,NA,NA
"3DD.0078D16359",NA,2024-06-08 14:32:24,NA,2024-06-08 14:32:24,NA,NA,NA
"3DD.0078D16376",NA,2024-06-17 23:32:24,NA,2024-06-17 23:32:24,NA,NA,NA
"3DD.0078D1637A",NA,2024-06-21 04:01:56,NA,2024-06-21 04:01:56,NA,NA,NA
"3DD.0078D1637E",NA,NA,2024-06-08 14:25:04,NA,NA,NA,NA
"3DD.0078D16388",NA,2024-06-19 02:40:45,NA,2024-06-19 02:40:45,NA,NA,NA
"3DD.0078D16394",NA,NA,2024-06-05 22:32:41,NA,NA,NA,NA
"3DD.0078D16396",NA,2024-05-30 22:30:28,NA,2024-05-30 22:30:28,NA,NA,NA
"3DD.0078D16399",NA,2024-05-31 01:26:45,NA,2024-05-31 01:26:45,NA,NA,NA
"3DD.0078D1639B",NA,2024-05-30 22:19:20,NA,2024-05-30 22:19:20,NA,NA,NA
"3DD.0078D163A1",NA,2024-05-30 22:05:07,2024-05-30 22:08:12,2024-05-30 22:05:07,NA,NA,NA
"3DD.0078D163A3",NA,2024-05-31 03:02:58,NA,2024-05-31 03:02:58,NA,NA,NA
"3DD.0078D163A4",NA,2024-05-31 03:25:59,NA,2024-05-31 03:25:59,NA,NA,NA
"3DD.0078D163A7",NA,2024-05-31 00:20:37,2024-05-31 00:25:01,2024-05-31 00:20:37,NA,NA,NA
"3DD.0078D163AB",NA,NA,2024-06-05 18:17:06,NA,NA,NA,NA
"3DD.0078D163AE",2024-06-07 22:42:20,2024-05-30 21:43:46,NA,2024-05-30 21:43:46,NA,NA,NA
"3DD.0078D163B5",NA,NA,2024-05-30 23:00:46,NA,NA,NA,NA
"3DD.0078D163B8",NA,2024-05-30 23:37:13,NA,2024-05-30 23:37:13,NA,NA,NA
"3DD.0078D163B9",NA,2024-05-31 02:01:31,2024-05-31 02:04:43,2024-05-31 02:01:31,NA,NA,NA
"3DD.0078D163BD",NA,NA,2024-05-30 22:29:33,NA,NA,NA,NA
"3DD.0078D163BF",NA,NA,2024-05-30 23:26:43,NA,NA,NA,NA
"3DD.0078D163C3",NA,2024-05-30 21:41:39,2024-05-30 21:46:01,2024-05-30 21:41:39,NA,NA,NA
"3DD.0078D163C4",NA,NA,2024-05-30 22:14:49,NA,NA,NA,NA
"3DD.0078D163C6",NA,2024-05-30 22:26:51,NA,2024-05-30 22:26:51,NA,NA,NA
"3DD.0078D163CB",NA,2024-05-30 23:13:12,NA,2024-05-30 23:13:12,NA,NA,NA
"3DD.0078D163CD",NA,2024-06-15 23:21:51,NA,2024-06-15 23:21:51,NA,NA,NA
"3DD.0078D163CE",NA,NA,2024-05-31 02:58:34,NA,NA,NA,NA
"3DD.0078D163CF",NA,NA,2024-06-04 21:52:36,NA,NA,NA,NA
"3DD.0078D163D0",NA,NA,2024-05-30 21:49:41,NA,NA,NA,NA
"3DD.0078D163D8",NA,NA,2024-05-30 22:16:53,NA,NA,NA,NA
"3DD.0078D163DB",NA,2024-05-31 01:11:29,2024-05-31 01:15:57,2024-05-31 01:11:29,NA,NA,NA
"3DD.0078D163DE",NA,2024-05-30 22:38:59,2024-05-30 22:42:34,2024-05-30 22:38:59,NA,NA,NA
"3DD.0078D163DF",NA,NA,2024-05-30 23:36:45,NA,NA,NA,NA
"3DD.0078D163E0",NA,NA,2024-05-31 04:40:36,NA,NA,NA,NA
"3DD.0078D163E4",NA,2024-05-31 00:25:34,NA,2024-05-31 00:25:34,NA,NA,NA
"3DD.0078D163E6",NA,2024-06-13 22:01:24,NA,2024-06-13 22:01:24,NA,NA,NA
"3DD.0078D163E7",NA,NA,2024-05-30 22:23:47,NA,NA,NA,NA
"3DD.0078D163E9",NA,NA,2024-05-30 23:27:55,NA,NA,NA,NA
"3DD.0078D163EA",NA,2024-05-30 22:19:03,NA,2024-05-30 22:19:03,NA,NA,NA
"3DD.0078D163EB",NA,2024-05-31 02:10:38,NA,2024-05-31 02:10:38,NA,NA,NA
"3DD.0078D163F1",NA,2024-05-30 23:35:19,NA,2024-05-30 23:35:19,NA,NA,NA
"3DD.0078D163F4",NA,NA,2024-05-30 22:16:19,NA,NA,NA,NA
"3DD.0078D163F6",NA,2024-05-30 22:22:38,2024-05-30 22:25:52,2024-05-30 22:22:38,NA,NA,NA
"3DD.0078D163F9",NA,NA,2024-05-30 23:35:05,NA,NA,NA,NA
"3DD.0078D163FA",NA,2024-05-30 21:38:26,2024-05-30 21:41:27,2024-05-30 21:38:26,NA,NA,NA
"3DD.0078D163FB",NA,2024-07-06 17:13:20,NA,2024-07-06 17:13:20,NA,NA,NA
"3DD.0078D163FE",NA,NA,2024-05-30 22:02:41,NA,NA,NA,NA
"3DD.0078D16402",NA,NA,2024-05-31 02:36:27,NA,NA,NA,NA
"3DD.0078D16406",NA,NA,2024-05-30 22:56:41,NA,NA,NA,NA
"3DD.0078D16408",NA,NA,2024-05-30 21:44:58,NA,NA,NA,NA
"3DD.0078D16413",NA,NA,2024-05-31 02:40:25,NA,NA,NA,NA
"3DD.0078D16414",NA,2024-06-04 21:22:02,2024-06-04 21:26:19,2024-06-04 21:22:02,NA,NA,NA
"3DD.0078D16415",NA,NA,2024-05-31 00:11:51,NA,NA,NA,NA
"3DD.0078D16416",NA,NA,2024-05-31 03:44:11,NA,NA,NA,NA
"3DD.0078D16417",NA,2024-05-30 22:22:01,NA,2024-05-30 22:22:01,NA,NA,NA
"3DD.0078D16418",2024-06-06 22:04:51,2024-05-30 22:04:07,2024-05-30 22:07:29,2024-05-30 22:04:07,NA,NA,NA
"3DD.0078D16419",NA,2024-05-31 04:17:03,2024-05-31 04:26:00,2024-05-31 04:17:03,NA,NA,NA
"3DD.0078D1641E",NA,2024-05-30 22:43:10,2024-05-31 02:46:28,2024-05-30 22:43:10,NA,NA,NA
"3DD.0078D16421",NA,NA,2024-05-30 23:21:50,NA,NA,NA,NA
"3DD.0078D16428",NA,NA,2024-05-30 21:17:56,NA,NA,NA,NA
"3DD.0078D16429",NA,2024-05-30 22:21:48,NA,2024-05-30 22:21:48,NA,NA,NA
"3DD.0078D1642A",NA,2024-05-30 22:24:22,NA,2024-05-30 22:24:22,NA,NA,NA
"3DD.0078D1642C",NA,2024-05-30 22:11:33,2024-05-30 22:14:43,2024-05-30 22:11:33,NA,NA,NA
"3DD.0078D1642F",NA,2024-05-31 05:00:54,NA,2024-05-31 05:00:54,NA,NA,NA
"3DD.0078D16430",NA,2024-05-30 22:34:00,2024-05-30 22:37:20,2024-05-30 22:34:00,NA,NA,NA
"3DD.0078D16431",NA,2024-05-30 21:27:12,2024-05-30 21:30:03,2024-05-30 21:27:12,NA,NA,NA
"3DD.0078D16434",NA,NA,2024-05-30 22:31:57,NA,NA,NA,NA
"3DD.0078D16435",NA,2024-05-30 22:46:17,NA,2024-05-30 22:46:17,NA,NA,NA
"3DD.0078D16438",NA,2024-05-30 22:32:10,NA,2024-05-30 22:32:10,NA,NA,NA
"3DD.0078D16439",NA,NA,2024-05-31 02:34:10,NA,NA,NA,NA
"3DD.0078D1643B",NA,2024-05-30 22:14:18,NA,2024-05-30 22:14:18,NA,NA,NA
"3DD.0078D1643D",NA,NA,2024-05-30 22:55:52,NA,NA,NA,NA
"3DD.0078D1643E",NA,2024-05-30 22:09:12,2024-05-30 22:12:36,2024-05-30 22:09:12,NA,NA,NA
