"Hex_tag_ID","Duwamish People's Park","Lower Green Barge 1","Lower Green Barge 2","Lower Russel Backwater","Porter Side Channel","WDFW TBiOS Opposite Slip 4","WDFW TBiOS Slip 4"
"3DD.003DEEC0FF",NA,2024-05-16 20:59:05,2024-05-16 21:06:22,2024-05-16 20:59:05,NA,NA,NA
"3DD.003DEEC101",NA,2024-05-16 21:17:00,NA,2024-05-16 21:17:00,NA,NA,NA
"3DD.003DEEC107",NA,2024-05-16 21:15:30,NA,2024-05-16 21:15:30,NA,NA,NA
"3DD.003DEEC10E",NA,2024-05-16 21:15:36,NA,2024-05-16 21:15:36,NA,NA,NA
"3DD.003DEEC10F",NA,NA,2024-05-16 21:10:04,NA,NA,NA,NA
"3DD.003DEEC111",NA,NA,2024-05-16 21:10:46,NA,NA,NA,NA
"3DD.003DEEC112",NA,NA,2024-05-16 20:54:55,NA,NA,NA,NA
"3DD.003DEEC113",NA,NA,2024-05-16 21:08:54,NA,NA,NA,NA
"3DD.003DEEC117",NA,NA,2024-05-16 21:05:28,NA,NA,NA,NA
"3DD.003DEEC119",NA,NA,2024-05-16 21:09:05,NA,NA,NA,NA
"3DD.003DEEC11A",NA,NA,2024-05-16 21:16:46,NA,NA,NA,NA
"3DD.003DEEC121",NA,NA,2024-05-16 21:17:33,NA,NA,NA,NA
"3DD.003DEEC122",NA,NA,2024-05-16 21:18:58,NA,NA,NA,NA
"3DD.003DEEC126",NA,2024-05-17 02:10:24,NA,2024-05-17 02:10:24,NA,NA,NA
"3DD.003DEEC127",NA,NA,2024-05-16 21:20:16,NA,NA,NA,NA
"3DD.003DEEC12A",NA,NA,2024-05-16 21:25:33,NA,NA,NA,NA
"3DD.003DEEC131",NA,2024-05-16 21:38:26,NA,2024-05-16 21:38:26,NA,NA,NA
"3DD.003DEEC133",NA,2024-05-16 21:50:18,NA,2024-05-16 21:50:18,NA,NA,NA
"3DD.003DEEC134",NA,NA,2024-05-16 21:15:02,NA,NA,NA,NA
"3DD.003DEEC138",NA,NA,2024-05-16 21:05:00,NA,NA,NA,NA
"3DD.003DEEC13A",NA,NA,2024-05-16 21:04:37,NA,NA,NA,NA
"3DD.003DEEC13C",NA,NA,2024-05-16 21:16:01,NA,NA,NA,NA
"3DD.003DEEC142",NA,2024-05-16 21:01:15,NA,2024-05-16 21:01:15,NA,NA,NA
"3DD.003DEEC144",2024-05-24 21:59:45,2024-05-16 21:44:22,NA,2024-05-16 21:44:22,NA,NA,NA
"3DD.003DEEC14A",NA,NA,2024-05-16 22:18:44,NA,NA,NA,NA
"3DD.003DEEC14B",NA,NA,2024-05-16 21:18:23,NA,NA,NA,NA
"3DD.003DEEC15A",NA,NA,2024-05-17 00:57:50,NA,NA,NA,NA
"3DD.003DEEC15C",NA,2024-05-16 21:22:46,NA,2024-05-16 21:22:46,NA,NA,NA
"3DD.003DEEC164",NA,NA,2024-05-17 00:10:44,NA,NA,NA,NA
"3DD.003DEEC166",NA,NA,2024-05-16 21:10:08,NA,NA,NA,NA
"3DD.003DEEC167",NA,NA,2024-05-16 21:49:51,NA,NA,NA,NA
"3DD.003DEEC16F",NA,2024-05-17 03:35:26,NA,2024-05-17 03:35:26,NA,NA,NA
"3DD.003DEEC170",NA,NA,2024-05-16 21:12:16,NA,NA,NA,NA
"3DD.003DEEC172",NA,2024-05-16 22:31:14,2024-05-16 22:34:23,2024-05-16 22:31:14,NA,NA,NA
"3DD.003DEEC174",NA,2024-05-16 21:07:47,NA,2024-05-16 21:07:47,NA,NA,NA
"3DD.003DEEC17E",NA,2024-05-16 21:07:40,2024-05-16 21:11:16,2024-05-16 21:07:40,NA,NA,NA
"3DD.003DEEC180",NA,NA,2024-05-16 21:42:14,NA,NA,NA,NA
"3DD.003DEEC181",NA,2024-05-16 21:17:49,2024-05-16 21:20:42,2024-05-16 21:17:49,NA,NA,NA
"3DD.003DEEC18B",NA,2024-05-17 03:29:24,NA,2024-05-17 03:29:24,NA,NA,NA
"3DD.003DEEC192",NA,NA,2024-05-16 21:24:48,NA,NA,NA,NA
"3DD.003DEEC193",NA,2024-05-16 21:02:09,NA,2024-05-16 21:02:09,NA,NA,NA
"3DD.003DEEC196",NA,NA,2024-05-16 22:12:21,NA,NA,NA,NA
"3DD.003DEEC197",NA,NA,2024-05-16 21:05:19,NA,NA,NA,NA
"3DD.003DEEC198",NA,NA,2024-05-16 21:20:38,NA,NA,NA,NA
"3DD.003DEEC199",NA,2024-05-16 21:06:09,NA,2024-05-16 21:06:09,NA,NA,NA
"3DD.003DEEC19A",NA,2024-05-16 21:07:34,NA,2024-05-16 21:07:34,NA,NA,NA
"3DD.003DEEC1A0",NA,NA,2024-05-16 21:18:33,NA,NA,NA,NA
"3DD.003DEEC1A2",NA,NA,2024-05-16 20:54:43,NA,NA,NA,NA
"3DD.003DEEC1A7",NA,2024-05-16 21:28:16,NA,2024-05-16 21:28:16,NA,NA,NA
"3DD.003DEEC1AB",NA,NA,2024-05-16 21:31:03,NA,NA,NA,NA
"3DD.003DEEC1AC",NA,NA,2024-05-16 21:09:57,NA,NA,NA,NA
"3DD.003DEEC1AD",NA,2024-05-16 21:01:55,NA,2024-05-16 21:01:55,NA,NA,NA
"3DD.003DEEC1B1",NA,2024-05-17 03:23:23,2024-05-17 03:27:33,2024-05-17 03:23:23,NA,NA,NA
"3DD.003DEEC1B6",NA,2024-05-16 21:02:01,NA,2024-05-16 21:02:01,NA,NA,NA
"3DD.003DEEC1BE",NA,NA,2024-05-16 22:54:54,NA,NA,NA,NA
"3DD.003DEEC1C0",NA,NA,2024-05-16 21:14:33,NA,NA,NA,NA
"3DD.003DEEC1C1",NA,2024-05-16 21:00:26,NA,2024-05-16 21:00:26,NA,NA,NA
"3DD.003DEEC1C3",NA,2024-05-16 22:05:26,2024-05-16 22:08:56,2024-05-16 22:05:26,NA,NA,NA
"3DD.003DEEC1C4",NA,2024-05-16 21:13:33,NA,2024-05-16 21:13:33,NA,NA,NA
"3DD.003DEEC1C5",NA,2024-05-16 21:00:57,NA,2024-05-16 21:00:57,NA,NA,NA
